First,Last,Team,ERA,G,GS,IP,BB
Justin,Verlander,HOU,1.75,28,28,175,29
Julio,Urias,LAD,2.16,31,31,175,41
Dylan,Cease,CWS,2.2,32,32,184,78
Alek,Manoah,TOR,2.24,31,31,196.2,51
Sandy,Alcantara,MIA,2.28,32,32,228.2,50
Shohei,Ohtani,LAA,2.33,28,28,166,44
Max,Fried,ATL,2.48,30,30,185.1,32
Shane,Clanahan,TB,2.54,28,28,166.1,38
Zac,Gallen,ARI,2.54,31,31,184,47
Tyler,Anderson,LAD,2.57,30,28,178.2,34
Framber,Valdez,HOU,2.82,31,31,201.1,67
Shane,Bieber,CLE,2.88,31,31,200,36
Carlos,Rodon,SF,2.88,31,31,178,52
Martin,Perez,TEX,2.89,32,32,196.1,69
Logan,Webb,SF,2.9,32,32,192.1,49
Jose,Quintana,STL,2.93,32,32,165.2,47
Joe,Musgrove,SD,2.93,30,30,181,42
Corbin,Burnes,MIL,2.94,33,33,202,51
Triston,Kenzie,CLE,2.96,31,30,191.1,44
Yu,Darvish,SD,3.1,30,30,194.2,37
Kyle,Wright,ATL,3.19,30,30,180.1,53
Logan,Gilbert,SEA,3.2,32,32,185.2,49
Aaron,Nola,PHI,3.25,32,32,205,29
Miles,Mikolas,STL,3.29,33,32,202.1,39
Kevin,Gausman,TOR,3.35,31,31,174.2,28
Merrill,Kelly,ARI,3.37,33,33,200.1,61
Cal,Quantrill,CLE,3.38,32,32,186.1,47
Chris,Bassitt,NYM,3.42,30,30,181.2,49
Jordan,Montgomery,STL,3.48,32,32,178.1,36
Gerrit,Cole,NYY,3.5,33,33,200.2,50
Adam,Wainwright,STL,3.71,32,32,191.2,54
Robbie,Ray,SEA,3.71,32,32,189,62
Pablo,Lopez,MIA,3.75,32,32,180,53
Jameson,Taillon,NYY,3.91,32,32,177.1,32
Jose,Urquidy,HOU,3.94,29,28,164.1,38
Cole,Irvin,OAK,3.98,30,30,181,36
Marco,Gonzales,SEA,4.13,32,32,183,50
Corey,Kluber,TB,4.34,31,31,164,21
Charlie,Morton,ATL,4.34,31,31,172,63
Jordan,Lyles,BAL,4.42,32,32,179,52
Kyle,Freeland,COL,4.53,31,31,174.2,53
Nick,Pivetta,BOS,4.56,33,33,179.2,73
German,Marquez,COL,4.95,31,31,181.2,63
Kyle,Gibson,PHI,5.05,31,31,167.2,48
Jose,Berrios,TOR,5.23,32,32,172,45
